rating_id,domain,tier,query,response,reference_answer,score_synth_A,score_synth_B,score_synth_C
MR_0100,GEO,2,What is the capital of the Australian state of Victoria?,Melbourne.,The capital of the Australian state of Victoria is Melbourne.,0.0,0.0,0.0
MR_0015,TECH,2,Which specification defines the behavior of the Web Storage API?,The Web Storage API is defined in the **HTML Living Standard** (previously HTML5) by the Web Hypertext Application Technology Working Group (WHATWG).,"The Web Storage specification, maintained by the W3C and WHATWG, defines the behavior of the Web Storage API, which allows web applications to store data locally in the browser.",0.0,0.5,0.0
MR_0074,FIN,3,How does inflation affect the purchasing power of consumers?,"Inflation erodes consumers’ purchasing power: as prices rise, each dollar buys fewer goods and services. If wages or savings don’t keep pace, real income falls, meaning consumers can afford less for the same amount of money.","Inflation erodes the purchasing power of consumers by reducing the value of money, as the same amount of currency can buy fewer goods and services as prices rise.",0.0,0.0,0.0
MR_0160,LAW,1,What is the primary role of administrative law judges in the U.S.?,The primary role of administrative law judges in the U.S. is to preside over hearings and make binding decisions in cases involving violations of regulations or rules established by government agencies.,Administrative law judges preside over hearings and make decisions regarding disputes between individuals or organizations and federal administrative agencies.,0.5,1.0,0.5
MR_0161,CULT,1,The Terracotta Army was discovered in which Chinese province?,The Terracotta Army was discovered in the Shaanxi province of China.,"The Terracotta Army was discovered in Shaanxi province, China.",0.0,0.0,0.0
MR_0003,LAW,2,"Under U.S. contract law, what are the requirements for a valid liquidated damages clause?","Under U.S. contract law, a liquidated damages clause is valid if it meets three primary requirements:

1.  **The damages upon breach must be difficult to estimate accurately at the time of contract formation.**
2.  **The stipulated amount must be a reasonable forecast of the anticipated harm** (not a penalty).
3.  **The amount must be reasonable in relation to the actual loss suffered** (proportionality).

These requirements ensure the clause is a genuine pre-estimate of damages rather than a punitive penalty designed to compel performance.","A valid liquidated damages clause must be a reasonable forecast of the damages that would result from a breach at the time the contract was made, and the damages must be difficult to ascertain or estimate at that time.",0.0,0.0,0.0
MR_0046,GEO,2,What is the name of the highest mountain peak in the Andes mountain range?,Aconcagua.,"Aconcagua is the highest mountain peak in the Andes mountain range, with a summit elevation of 6,962 meters.",0.0,0.0,0.0
MR_0012,FIN,2,What was the economic impact of the Chinese Great Leap Forward?,"The Great Leap Forward (1958–1962) caused severe economic damage. Industrial output initially surged but quickly collapsed due to poor-quality production and resource misallocation. Agricultural disruption, caused by forced collectivization and misguided policies, led to a catastrophic famine that killed tens of millions and drastically reduced labor productivity. The overall result was a deep economic depression, with China's GDP declining significantly and per capita income falling sharply, setting back the country's development for years.","The Great Leap Forward, initiated in 1958, led to one of the worst economic disasters in Chinese history, resulting in widespread famine, significant economic contraction, and an estimated tens of millions of deaths due to the failure of radical agricultural and industrial policies.",0.0,0.0,0.0
MR_0131,LAW,3,What were the main provisions of the Judiciary Act of 1801 and its subsequent repeal?,"The Judiciary Act of 1801, also known as the Midnight Judges Act, had several main provisions:

1. **Creation of New Federal Courts**: It established 16 new federal circuit courts and reduced the number of Supreme Court justices from six to five.
2. **Appointment of Federalist Judges**: It allowed President John Adams to appoint Federalist judges to these new positions, which was seen as an attempt to maintain Federalist influence in the judiciary.
3. **Expansion of Judicial Power**: It expanded the jurisdiction of federal courts, giving them more authority over certain types of cases.

The subsequent repeal of the Judiciary Act of 1801, known as the Repeal Act of 1802, had the following main provisions:

1. **Abolition of New Courts**: It abolished the 16 new circuit courts created by the 1801 act.
2. **Restoration of Supreme Court Justices**: It restored the number of Supreme Court justices to six.
3. **Reduction of Judicial Power**: It reduced the jurisdiction of federal courts, returning some cases to state courts.

These actions were taken by the Jefferson administration to reverse the Federalist influence established by the Judiciary Act of 1801.","The Judiciary Act of 1801 expanded the federal judiciary and reduced the number of Supreme Court justices required to be present on circuit, but it was repealed in 1802, restoring the previous number of justices and judiciary structure, reflecting a significant political and legal controversy of the time.",0.0,0.5,0.0
MR_0044,LAW,2,How does the Equal Pay Act of 1963 prohibit discrimination in compensation?,"The Equal Pay Act of 1963 prohibits wage discrimination based on sex when men and women perform substantially equal work in the same establishment. It requires equal pay for equal work, considering skill, effort, and responsibility under similar working conditions.","The Equal Pay Act prohibits employers from paying different wages to men and women who perform jobs that require substantially equal skill, effort, and responsibility under similar working conditions.",0.0,0.0,0.0
