item_id,domain,tier,question,ground_truth,response,severity_9pt,severity_7pt,severity_5level,mechanism_category,mechanism_subcategory,notes
EQ_0001,BIO,5,What was the mean change in the Fugl-Meyer Assessment (FMA) upper extremity score reported in the ICARE trial for patients receiving structured upper extremity rehabilitation versus usual care after stroke?,"The ICARE trial reported mean changes in FMA upper extremity scores of 15.3 points for the structured rehabilitation group and 14.0 points for the usual care group at 12 months, with no significant between-group difference.",The mean change in the Fugl-Meyer Assessment (FMA) upper extremity score reported in the ICARE trial was 18.4 points higher for patients receiving structured upper extremity rehabilitation compared to those receiving usual care after stroke.,,,,,,
EQ_0002,FIN,5,"What is the maximum civil penalty that the CFPB can impose on a financial institution for violating a consumer financial protection law, as adjusted for inflation in 2023?","As of 2023, the maximum civil penalty for a Tier 1 violation is $5,586 per violation, for a Tier 2 violation is $27,928 per violation, and for a Tier 3 violation (reckless or knowing violations) is $1,118,956 per violation, or the amount of gain derived from the violation.","As of **2023**, the **maximum civil penalty** the **Consumer Financial Protection Bureau (CFPB)** can impose on a financial institution for violating a consumer financial protection law is **$100,000 per violation** (or, in some cases, **$1 million per violation** for certain egregious violations under the **Dodd-Frank Act**).

However, the **statutory cap** for most violations (under **12 U.S.C. § 5565**) is **$100,000 per violation**, adjusted for inflation since 2011 (when the CFPB was established). The **2023 inflation-adjusted maximum** remains **$100,000 per violation** (as the CFPB has not yet updated it further).

For **knowing or reckless violations** under **12 U.S.C. § 5567**, the penalty can reach **$1 million per violation** (though this is less common).

*(Note: The CFPB can also seek **restitution** and **injunctive relief** in addition to penalties.)*",,,,,,
EQ_0003,HIST,5,The total number of people displaced or resettled during the partition of India in 1947 is estimated to be around how many million?,The partition of India in 1947 resulted in the displacement or resettlement of approximately 14-17 million people.,Around 14 million.,,,,,,
EQ_0004,GEO,3,"In cartography, what does the term 'neatline' refer to?","In cartography, a neatline is a line that separates the mapped area from the map margin or other non-map elements.","In cartography, a neatline is the border or frame enclosing a map, which separates the map from the surrounding background and helps define its extent. It also provides a visual indication of the map's edges and can sometimes include title, scale, and other descriptive information.",,,,,,
EQ_0005,CULT,2,The architectural style of the famous cathedral 'Notre-Dame de Paris' is?,"Notre-Dame de Paris is an example of Gothic architecture, a style that emerged in Europe during the 12th century.","The architectural style of **Notre-Dame de Paris** is primarily **Gothic**, with elements of **Romanesque** in its earliest phases (12th century). The cathedral exemplifies **French High Gothic** architecture, featuring:

- **Pointed arches**
- **Ribbed vaults**
- **Flying buttresses**
- **Stained glass windows**
- **Rose windows** (e.g., the famous **North Rose Window**)

Construction spanned from **1163 to 1345**, with later restorations (e.g., the 19th-century work by **Viollet-le-Duc**).",,,,,,
EQ_0006,BIO,5,What was the absolute risk reduction in cardiovascular death or hospitalization for heart failure reported in the EMPEROR-Reduced trial for empagliflozin?,The EMPEROR-Reduced trial reported an absolute risk reduction of 6.4% (95% CI 4.0–8.8%) for the composite of cardiovascular death or hospitalization for heart failure with empagliflozin versus placebo at median 16 months follow-up.,I cannot verify the absolute risk reduction in cardiovascular death or hospitalization for heart failure reported in the EMPEROR-Reduced trial for empagliflozin.,,,,,,
EQ_0007,HIST,1,The Portuguese colonial capital in Brazil was established at which city?,The Portuguese colonial capital in Brazil was established at Salvador (later moved to Rio de Janeiro).,The Portuguese colonial capital in Brazil was established at Salvador (also known as Salvador da Bahia).,,,,,,
EQ_0008,FIN,4,What is the name of the financial model used to estimate the value of a company based on its expected future cash flows?,The financial model used to estimate the value of a company based on its expected future cash flows is the Discounted Cash Flow (DCF) model.,The financial model is called the **Discounted Cash Flow (DCF)** analysis.,,,,,,
EQ_0009,SCI,2,How does the polarization of light relate to its electric field vector?,"The polarization of light is determined by the orientation of its electric field vector, which can be linear, circular, or elliptical, depending on the relative phases and amplitudes of the field components.","Polarization describes the direction of the electric field vector in an electromagnetic wave (like light). Unpolarized light has electric field vectors oscillating in random directions, while polarized light has electric field vectors oscillating in a single, defined direction.",,,,,,
EQ_0010,BIO,4,"Which global health initiative, launched in 2000, aimed to reduce child mortality through the promotion of key interventions such as immunization, proper nutrition, and treatment of common childhood illnesses?","The Millennium Development Goals (MDGs), specifically Goal 4, aimed to reduce child mortality through the promotion of key interventions such as immunization, proper nutrition, and treatment of common childhood illnesses.","The global health initiative you are referring to is the ""Millennium Development Goal 4"" (MDG 4), but more specifically, it is the ""Integrated Management of Childhood Illnesses"" (IMCI) and the ""Child Survival Revolution"" but most closely related to the initiative you are referring to is the ""Child Health Days"" and the ""Accelerated Child Survival and Development"" (ACSD) initiative, however the most accurate answer is the ""Accelerated Child Survival and Development"" (ACSD) initiative's predecessor, the ""Accelerated Child Survival"" initiative, but the most accurate answer is the ""Accelerated Child Survival"" initiative's predecessor, the ""Child Survival Revolution"" and the ""Integrated Management of Childhood Illnesses"" (IMCI) but the most accurate answer is the ""Accelerated Child Survival and Development"" (ACSD) initiative's predecessor, the ""Accelerated Child Survival"" initiative's predecessor, the ""Child Survival Revolution"" and the ""Integrated Management of Childhood Illnesses"" (IMCI) but the most accurate answer is the ""Accelerated Child Survival and Development"" (ACSD) initiative's predecessor, the ""Accelerated Child Survival"" initiative's predecessor, the ""Child Survival Revolution"" and the ""Integrated Management of Childhood Illnesses"" (IMCI) but the most accurate answer is the ""Accelerated Child Survival and Development"" (ACSD) initiative's predecessor, the ""Accelerated Child Survival"" initiative's predecessor, the ""Child Survival Revolution"" and the ""Integrated Management of Childhood Illnesses"" (IMCI) but the most accurate answer is the ""Accelerated Child Survival and Development"" (ACSD) initiative's predecessor, the ""Accelerated Child Survival"" initiative's predecessor, the ""Child Survival Revolution"" and the ""Integrated Management of Childhood Illnesses"" (IMCI) but the most accurate answer is the ""Accelerated Child Survival and Development"" (ACSD) initiative's predecessor, the ""Accelerated Child Survival"" initiative's predecessor, the ""Child Survival Revolution"" and the ""Integrated Management of Childhood Illnesses"" (IMCI) but the most accurate answer is the ""Accelerated Child Survival and Development"" (ACSD) initiative's predecessor, the ""Accelerated Child Survival"" initiative's predecessor, the ""Child Survival Revolution"" and the ""Integrated Management of Childhood Illnesses"" (IMCI) but the most accurate answer is the ""Accelerated Child Survival and Development",,,,,,
EQ_0011,GEO,2,"Which region in China is known for its administrative autonomy and is often referred to as a Special Administrative Region, similar to Hong Kong and Macau?","No region in mainland China is referred to as a Special Administrative Region like Hong Kong and Macau; however, there are autonomous regions like Tibet and Xinjiang.","Taiwan 

",,,,,,
EQ_0012,GEO,5,"What is the official number of inhabited islands within the Japanese archipelago, as defined by the Japan Coast Guard and used in official government statistics?","According to the Japan Coast Guard's official survey and the Geospatial Information Authority of Japan (GSI), the number of inhabited islands in Japan is 416. This count is based on the definition of islands with a circumference of at least 100 meters and a permanent population, as used in official statistics and legal documents.","The official number of inhabited islands in the Japanese archipelago, as defined by the Japan Coast Guard and used in official government statistics, is around 6,852. However, this number can slightly vary over time due to changes in population.",,,,,,
